,,,,,
CONSTRU,SegConstru,Detalle,#Pol暖onos,SumaAcum,%SumaAcum
P,Suelo,Patio,15.955,15.955,"16,59%"
I,Edificio,1 altura,11.682,27.637,"28,74%"
-I+II,Edificio,1 s葉ano + 2 alturas,8.706,36.343,"37,80%"
II,Edificio,2 alturas,6.835,43.178,"44,91%"
-I+III,Edificio,1 s葉ano + 3 alturas,5.046,48.224,"50,16%"
-I+I,Edificio,1 s葉ano + 1 alturas,3.3,51.524,"53,59%"
III,Edificio,3 alturas,3.148,54.672,"56,86%"
-I,Edificio,1 s葉ano,2.703,57.375,"59,67%"
POR,Edificio,Porche,2.064,59.439,"61,82%"
-I+POR+I,Edificio,1 s葉ano + porche + 1 altura,1.852,61.291,"63,75%"
TZA,Edificio,Terraza,1.584,62.875,"65,39%"
IV,Edificio,4 alturas,1.397,64.272,"66,85%"
IVTZA,Edificio,4 alturas + terraza,1.249,65.521,"68,15%"
V,Edificio,5 alturas,1.199,66.72,"69,39%"
SS+II,Edificio,1 semis葉ano + 2 alturas,1.196,67.916,"70,64%"
PI,Piscina,Piscina,1.004,68.92,"71,68%"
POR+I,Edificio,Porche + 1 altura,990,69.91,"72,71%"
SUELO,Suelo,Suelo,970,70.88,"73,72%"
-I+VI,Edificio,1 s葉ano + 4 alturas,897,71.777,"74,65%"
B,Edificio,Balc溶,814,72.591,"75,50%"
SS+III,Edificio,1 semis葉ano + 3 alturas,813,73.404,"76,34%"
-I+IV,Edificio,1 s葉ano + 4 alturas,800,74.204,"77,18%"
-I+POR,Edificio,1 s葉ano + porche,787,74.991,"77,99%"
-I+V,Edificio,1 s葉ano + 5 alturas,758,75.749,"78,78%"
VI,Edificio,6 alturas,660,76.409,"79,47%"
VITZA,Edificio,6 alturas + terraza,603,77.012,"80,10%"
