,,,,
CONSTRU,SegConstru,Detalle,SumAREA,%SumAcumArea
SUELO,Suelo,Patio,"7.277.874,25","66,92%"
ZPAV,Suelo,Obras de urbanizaci溶 interior,"552.523,79","84,19%"
ZD,Deporte-jard地,Zona Deportiva,"229.133,45","87,78%"
JD,Jard地,Jard地,"127.150,96","92,89%"
FUT,Deporte-jard地,Campo de F徼bol,"87.781,44","94,56%"
-I+ZPAV,Suelo,S葉ano + Obras de urbanizaci溶 interior,"67.808,43","95,18%"
-III,Suelo,S葉ano de 3 niveles,"21.886,56","97,80%"
-II+SS+I,Edificio,S葉ano 2 niveles + semis葉ano + 1 altura,"9.683,50","98,59%"
GOLF,Deporte-jard地,Campo de GOLF,"7.910,32","98,93%"
-II+ZPAV,Suelo,S葉ano 2 niveles + Obras de urbanizaci溶 interior,"2.224,08","99,39%"
.-II+P05-II06P,,,"1.679,28","99,47%"
-III+SS+IV,Edificio,S葉ano 3 niveles + semis葉ano + 4 alturas,"1.276,16","99,56%"
